SOLAR RADIATION IN W/m2 (UNTERHACHING);;;
I_Gh;I_Dh;I_ex;hs
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0.798095703;0;44;0
13.8828125;7.969815817;245;5.988506294
33.828125;20.14776703;408;13.60008599
61.828125;35.29843326;521;19.56203245
84.375;46.55924172;579;23.36496711
121.3125;71.33368489;575;24.59573215
171.0625;95.65735317;511;23.10198123
182.625;110.3620651;391;19.06733873
103.875;75.32670653;223;12.921771
22.171875;24.8321634;19;5.176040202
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
2.984375;0;49;0
37.3125;20.42307145;250;6.198078142
95;54.46739012;413;13.83041488
169.5;91.5871509;527;19.81435129
267.375;150.4337721;585;23.63634422
301.25;171.0972261;581;24.87857683
304.25;158.6344169;517;23.38613322
225.625;132.5539868;397;19.34390712
124.9375;88.74467705;229;13.18573957
40.71875;40.65806149;25;5.42638811
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
1.500488281;0;54;0
17.578125;10.08351961;255;6.413587497
41.46875;24.46425851;419;14.06666495
63.140625;35.7632007;533;20.07253035
71.75;41.73139135;591;23.91338311
76.4375;45.09898481;588;25.16665868
74.53125;45.71683362;524;23.67486911
58.640625;37.67778964;404;19.62429332
35;26.56650875;236;13.45280136
8.625;10.14131328;31;5.679250663
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
5.2109375;0;59;0
61.5625;32.27391776;261;6.634969076
134.5;75.05722855;425;14.30876336
189.75;100.8804047;539;20.33648991
248.9375;139.9563925;597;24.19599731
268.875;152.9640989;594;25.45988353
235.1875;139.5834068;530;23.96808692
111.75;69.49627386;410;19.90839064
38.84375;29.24913344;242;13.72285049
8.3984375;9.737357688;37;5.934527953
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
0;0;0;0
